service_id,date,exception_type
222097WD,20170404,2
222097WD,20170405,2
222097WD,20170406,2
222097WD,20170407,2
222097WD,20170408,2
222097WD,20170409,2
222097WD,20170410,2
222097WD,20170411,2
222097WD,20170412,2
222097WD,20170413,2
222097WD,20170414,2
222097WD,20170415,2
222097WD,20170416,2
222097WD,20170417,2
222097WD,20170418,2
222097WD,20170419,2
222097WD,20170420,2
222097WD,20170421,2
222097WD,20170422,2
222097WD,20170423,2
222097WD,20170424,2
222097WD,20170425,2
222097WD,20170426,2
222097WD,20170427,2
222097WD,20170428,2
222097AD,20170129,1
222097AD,20170130,1
222097AD,20170131,1
222097AD,20170201,1
222097AD,20170202,1
222097AD,20170203,1
222097AD,20170204,1
222097AD,20170205,1
222097AD,20170206,1
222097AD,20170207,1
222097AD,20170208,1
222097AD,20170209,1
222097AD,20170210,1
222097AD,20170211,1
222097AD,20170212,1
222097AD,20170213,1
222097AD,20170214,1
222097AD,20170215,1
222097AD,20170216,1
222097AD,20170217,1
222097AD,20170218,1
222097AD,20170219,1
222097AD,20170220,1
222097AD,20170221,1
222097AD,20170222,1
222097AD,20170223,1
222097AD,20170224,1
222097AD,20170225,1
222097AD,20170226,1
222097AD,20170227,1
222097AD,20170228,1
222097AD,20170301,1
222097AD,20170302,1
222097AD,20170303,1
222097AD,20170304,1
222097AD,20170305,1
222097AD,20170306,1
222097AD,20170307,1
222097AD,20170308,1
222097AD,20170309,1
222097AD,20170310,1
222097AD,20170311,1
222097AD,20170312,1
222097AD,20170313,1
222097AD,20170314,1
222097AD,20170315,1
222097AD,20170316,1
222097AD,20170317,1
222097AD,20170318,1
222097AD,20170319,1
222097AD,20170320,1
222097AD,20170321,1
222097AD,20170322,1
222097AD,20170323,1
222097AD,20170324,1
222097AD,20170325,1
222097AD,20170326,1
222097AD,20170327,1
222097AD,20170328,1
222097AD,20170329,1
222097AD,20170330,1
222097AD,20170331,1
222097AD,20170401,2
222097AD,20170402,2
222097AD,20170403,2
222097AD,20170404,2
222097AD,20170405,2
222097AD,20170406,2
222097AD,20170407,2
222097AD,20170408,2
222097AD,20170409,2
222097AD,20170410,2
222097AD,20170411,2
222097AD,20170412,2
222097AD,20170413,2
222097AD,20170414,2
